geneName	h1_P	h2_P	h1_T12	h2_T12
A1BG	4	15	13	6
A1CF	0	0	0	0
A2LD1	0	2	1	0
A2M	117	404	43	176
A2ML1	1	0	1	0
A4GALT	174	351	93	163
A4GNT	3	3	2	0
AAAS	78	133	104	122
AACS	53	53	89	72
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	0	1	0
AADAT	62	60	63	56
AAGAB	401	384	582	416
AAK1	158	125	149	77
AAMP	486	515	655	711
AANAT	0	0	0	0
AARS	1415	1375	854	1151
AARS2	52	87	136	114
AARSD1	148	135	214	262
AASDH	96	89	98	54
AASDHPPT	399	296	569	265
AATF	306	424	485	536
AATK	0	0	0	1
ABCA1	269	102	196	30
ABCA12	1	48	0	30
ABCA13	121	80	50	32
ABCA3	15	32	40	46
ABCA4	13	12	16	14
ABCA5	92	41	131	33
ABCA6	33	14	19	11
ABCA8	23	0	22	1
ABCB1	8	0	4	0
ABCB10	2	7	3	3
ABCB11	0	0	0	0
ABCB4	13	18	2	6
ABCB5	0	0	1	0
ABCB6	40	32	41	30
ABCB8	217	252	205	224
ABCB9	35	15	41	6
ABCC11	0	0	0	1
ABCC12	1	0	1	0
ABCC3	687	342	890	277
ABCC4	360	446	447	225
ABCC6	0	0	0	0
ABCC8	0	0	0	0
ABCC9	175	0	257	1
ABCD2	0	0	0	0
ABCD3	280	283	261	140
ABCD4	129	150	132	138
ABCE1	163	149	367	192
ABCF1	586	598	827	824
ABCF2	290	325	484	651
ABCF3	326	405	469	504
ABCG1	1	1	0	0
ABCG2	4	1	2	5
ABCG4	0	8	1	0
ABCG5	0	0	0	1
ABCG8	0	0	0	0
ABHD1	14	13	26	36
ABHD10	201	202	382	232
ABHD11	34	62	65	73
ABHD12	329	558	330	361
ABHD12B	0	0	1	0
ABHD13	247	224	356	137
ABHD14B	174	236	201	340
ABHD15	78	201	107	104
ABHD16A	238	272	245	261
ABHD16B	28	32	43	41
ABHD2	482	345	326	169
ABHD3	31	61	23	9
ABHD4	194	140	137	81
ABHD5	562	573	1038	895
ABHD6	58	111	45	110
ABHD8	24	29	34	44
ABI1	755	955	816	718
ABI2	459	470	587	437
ABI3	2	7	1	0
ABI3BP	1529	1231	1377	528
ABL1	1549	1549	1864	1798
ABL2	957	688	1232	600
ABLIM1	180	176	228	97
ABLIM2	0	1	0	0
ABLIM3	412	418	432	294
ABP1	0	0	0	0
ABR	223	263	246	245
ABRA	0	0	0	0
ABT1	60	72	84	121
ABTB1	135	192	61	64
ABTB2	138	164	107	85
AC003658.1	0	0	0	0
AC003682.1	56	55	119	109
AC004381.6.1	20	37	23	25
AC004410.1	84	122	77	88
AC004458.1	0	0	0	0
AC005726.6.1	24	17	34	16
AC007405.7.1	0	1	1	0
AC007436.1	0	0	0	0
AC007557.1.1	0	0	0	0
AC008073.5.1	154	146	222	111
AC008073.6.1	46	68	41	55
AC008581.1	0	0	0	0
AC008735.15.1	0	0	0	1
AC009159.1	0	0	0	0
AC009677.1	0	0	0	0
AC010319.1	0	0	0	0
AC010336.1	0	2	0	0
AC010872.2.1	0	0	0	0
AC010997.1	29	16	25	21
AC011443.1	2	1	0	0
AC011484.1	2	5	5	6
AC011498.1	61	84	59	51
AC012652.1.1	676	692	526	530
AC013461.1.1	339	328	440	226
AC015987.1	1625	1494	2052	1352
AC016257.1	0	0	0	0
AC016405.1	0	0	0	0
AC016757.3.1	0	0	0	0
AC018450.1	0	0	0	0
AC018682.6.1	0	0	0	0
AC018690.1	0	0	0	0
AC020900.1	0	0	0	0
AC022142.1	0	0	0	0
AC023513.1	0	0	0	0
AC024610.1	0	0	0	0
AC025287.1	0	0	1	0
AC027045.1	0	0	0	0
AC068706.1	0	0	0	0
AC069154.2.1	1	0	2	0
AC069257.9.1	16	15	26	36
AC074391.1	0	0	0	0
AC078802.1	41	45	39	20
AC079354.1.1	1	0	0	0
AC080032.1	0	0	0	0
AC090420.1	0	0	0	0
AC090660.1	0	0	0	0
AC091096.1	0	0	0	0
AC091153.1	164	198	229	276
AC091172.1	3	8	8	4
AC091487.1	0	0	0	0
AC091643.1	0	0	0	0
AC092031.1	0	0	0	0
AC092048.1	0	0	0	0
AC092265.1	0	0	0	0
AC093267.1	0	0	0	0
AC093311.1	0	0	0	0
AC093515.1	0	0	0	0
AC093700.1	0	0	0	0
AC096645.1	0	0	0	0
AC099489.1	0	0	0	0
AC099540.1	0	0	0	0
AC099545.1	0	0	0	0
AC099757.1	0	0	0	0
AC100788.1.1	3	4	5	5
AC104169.1	0	0	0	0
AC108134.2	0	0	1	0
AC114788.1	0	0	0	0
AC114947.1.1	26	38	7	39
AC116345.1	0	0	0	0
AC117401.1	0	0	0	0
AC217771.1	0	0	0	0
AC226150.2.1	0	0	0	0
ACAA1	260	350	341	492
ACAA2	128	143	110	116
ACACA	599	552	862	718
ACAD10	98	111	126	113
ACAD8	84	70	75	96
ACAD9	188	208	318	328
ACADL	0	0	0	0
ACADM	179	202	248	144
ACADS	28	37	23	23
ACADSB	36	31	56	39
ACADVL	1660	1944	1371	1454
ACAN	319	3344	181	589
ACAP1	1	3	3	0
ACAP2	1041	852	832	336
ACAP3	132	205	152	134
ACAT1	248	298	354	221
ACBD3	1079	974	1489	768
ACBD4	24	28	22	28
ACBD5	473	423	458	249
ACBD6	127	111	150	130
ACBD7	0	4	1	1
ACCN2	17	44	25	52
ACCN4	0	4	1	1
ACCN5	0	0	0	0
ACCS	19	39	13	7
ACCSL	0	0	0	0
ACD	62	94	63	91
ACE	106	29	94	61
ACE2	0	0	0	0
ACER1	0	0	0	0
ACER3	58	68	67	30
ACHE	4	1	2	3
ACIN1	1715	1630	2083	1629
ACMSD	1	1	1	0
ACN9	10	21	17	17
ACO1	631	476	1174	990
ACO2	185	160	229	238
ACOT11	26	55	70	71
ACOT12	0	0	0	0
ACOT13	64	58	65	76
ACOT4	12	8	10	9
ACOT6	0	0	0	0
ACOT7	131	233	184	291
ACOT8	203	277	196	265
ACOT9	336	441	403	401
ACOX1	184	139	186	147
ACOX2	58	109	66	97
ACP1	106	123	177	126
ACP2	247	294	322	317
ACP5	6	6	2	4
ACP6	11	21	5	6
ACPL2	153	189	147	121
ACPP	27	1	11	4
ACPT	0	0	2	2
ACR	1	1	0	0
ACRBP	2	2	3	0
ACRC	13	10	12	6
ACRV1	0	1	1	0
ACSBG1	6	3	5	8
ACSBG2	4	1	2	0
ACSF2	67	31	40	16
ACSF3	44	55	39	70
ACSL1	300	372	465	428
ACSL3	608	665	689	361
ACSL4	1275	1140	2343	824
ACSL5	27	19	15	10
ACSL6	0	0	0	0
ACSM3	18	22	13	5
ACSM4	0	0	0	0
ACSM5	0	1	0	2
ACSS1	20	8	18	7
ACSS2	128	195	126	161
ACSS3	59	28	45	18
ACTA1	63	113	99	224
ACTBL2	1	2	1	0
ACTC1	1353	1063	474	565
ACTL10	3	7	7	8
ACTL6A	324	396	411	456
ACTL6B	0	0	0	0
ACTL7A	1	0	0	0
ACTL7B	0	0	0	0
ACTL8	0	0	0	0
ACTL9	0	0	0	0
ACTN1	4903	5247	8018	8069
ACTN2	0	0	1	1
ACTN4	1858	2441	2446	2848
ACTR10	557	655	667	666
ACTR1A	520	686	508	583
ACTR1B	192	234	206	300
ACTR2	428	323	588	360
ACTR3B	49	58	45	67
ACTR5	37	42	64	63
ACTR6	144	132	161	77
ACTR8	219	260	214	256
ACTRT2	0	0	0	0
ACVR1	871	708	653	502
ACVR1B	229	251	215	198
ACVR1C	8	3	13	3
ACVR2A	127	137	96	167
ACVR2B	7	6	5	2
ACVRL1	100	121	81	153
ACY3	0	0	0	0
ACYP2	52	42	46	38
ADA	101	39	266	162
ADAD1	0	0	0	0
ADAD2	0	0	0	0
ADAL	69	72	96	66
ADAM10	1334	1111	1045	504
ADAM11	0	3	1	2
ADAM12	9475	5431	9901	4971
ADAM15	248	447	346	509
ADAM17	237	169	142	99
ADAM18	0	0	0	0
ADAM19	132	122	151	112
ADAM2	0	0	0	0
ADAM20	0	0	0	0
ADAM22	2	0	0	0
ADAM23	74	72	106	66
ADAM28	18	3	6	0
ADAM29	0	0	0	0
ADAM30	0	0	0	0
ADAM32	8	3	16	2
ADAM33	87	273	104	248
ADAM7	0	0	0	0
ADAM9	2274	2001	2768	1086
ADAMDEC1	3	0	1	0
ADAMTS1	2992	5894	6478	4664
ADAMTS10	121	68	47	51
ADAMTS12	240	34	246	51
ADAMTS13	19	13	24	18
ADAMTS14	547	361	526	331
ADAMTS15	0	0	0	0
ADAMTS16	1	1	1	0
ADAMTS17	0	0	0	0
ADAMTS18	7	0	5	1
ADAMTS19	0	0	0	0
ADAMTS2	4644	3025	4952	2527
ADAMTS20	0	0	1	0
ADAMTS3	16	27	21	45
ADAMTS4	142	229	77	73
ADAMTS5	216	122	478	146
ADAMTS6	568	479	818	316
ADAMTS7	36	6	52	17
ADAMTS8	3	1	4	41
ADAMTS9	38	60	13	18
ADAMTSL1	1332	2310	784	1024
ADAMTSL3	2	0	0	0
ADAMTSL4	268	264	336	238
ADAMTSL5	56	95	69	79
ADAP2	0	0	1	0
ADAR	1925	1539	2163	1803
ADARB1	403	382	242	174
ADARB2	0	0	0	0
ADAT1	43	46	70	51
