geneName	h1_T0	h1_T12	h2_T0	h2_T12
A1BG	16	13	9	6
A1CF	0	0	0	0
A2LD1	0	1	0	0
A2M	83	43	190	176
A2ML1	0	1	0	0
A4GALT	136	93	180	163
A4GNT	5	2	1	0
AAAS	108	104	114	122
AACS	36	89	37	72
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL3	0	0	0	0
AADACL4	0	1	3	0
AADAT	97	63	83	56
AAGAB	402	582	295	416
AAK1	109	149	53	77
AAMP	513	655	542	711
AANAT	0	0	0	0
AARS	1123	854	1304	1151
AARS2	114	136	92	114
AARSD1	108	214	106	262
AASDH	149	98	82	54
AASDHPPT	418	569	328	265
AATF	294	485	282	536
AATK	0	0	1	1
ABCA1	494	196	132	30
ABCA12	5	0	35	30
ABCA13	8	50	0	32
ABCA3	53	40	77	46
ABCA4	12	16	12	14
ABCA5	358	131	262	33
ABCA6	172	19	59	11
ABCA8	144	22	10	1
ABCB1	0	4	0	0
ABCB10	2	3	0	3
ABCB11	0	0	0	0
ABCB4	6	2	11	6
ABCB5	0	1	0	0
ABCB6	70	41	28	30
ABCB8	162	205	134	224
ABCB9	29	41	8	6
ABCC11	0	0	0	1
ABCC12	0	1	0	0
ABCC3	870	890	358	277
ABCC4	212	447	213	225
ABCC6	7	0	1	0
ABCC8	0	0	0	0
ABCC9	199	257	0	1
ABCD2	0	0	0	0
ABCD3	209	261	135	140
ABCD4	239	132	177	138
ABCE1	109	367	78	192
ABCF1	518	827	435	824
ABCF2	248	484	278	651
ABCF3	397	469	313	504
ABCG1	8	0	3	0
ABCG2	0	2	0	5
ABCG4	1	1	3	0
ABCG5	1	0	0	1
ABCG8	0	0	0	0
ABHD1	10	26	10	36
ABHD10	256	382	150	232
ABHD11	43	65	40	73
ABHD12	256	330	236	361
ABHD12B	3	1	4	0
ABHD13	252	356	177	137
ABHD14B	342	201	433	340
ABHD15	132	107	128	104
ABHD16A	270	245	235	261
ABHD16B	33	43	34	41
ABHD2	116	326	89	169
ABHD3	14	23	9	9
ABHD4	296	137	212	81
ABHD5	196	1038	193	895
ABHD6	51	45	75	110
ABHD8	94	34	116	44
ABI1	535	816	574	718
ABI2	770	587	648	437
ABI3	0	1	2	0
ABI3BP	1616	1377	781	528
ABL1	1792	1864	1716	1798
ABL2	561	1232	268	600
ABLIM1	276	228	110	97
ABLIM2	0	0	0	0
ABLIM3	206	432	264	294
ABP1	0	0	0	0
ABR	272	246	191	245
ABRA	0	0	0	0
