logFC	logCPM	F	PValue	FDR
IL8	9.03632064203518	7.92310926458569	352.243831432937	2.65660692073152e-08	0.000380983998502107
THBD	6.47483441110322	4.41898900085833	202.031929012226	2.73581268841538e-07	0.00180742376119779
ANGPTL4	5.61633484987672	4.79022286826403	186.887876336581	3.78095759263188e-07	0.00180742376119779
CD274	5.39159081252495	4.8024043679035	170.047738106201	5.58866823645683e-07	0.00200367727947568
IL1RN	10.7517127793476	4.26621287921384	212.767740404903	7.506714769609e-07	0.00215307593021925
PODXL	5.07798177871822	6.31374920984728	148.442627139137	9.77840256267088e-07	0.00232496498381502
DIRAS3	5.31786758011534	4.80488195201175	139.282765946775	1.26940884287471e-06	0.00232496498381502
TSPAN13	4.82525548531526	4.7544680729169	134.975028956843	1.4433276411502e-06	0.00232496498381502
LGR5	-4.37527086526066	5.75832353415733	134.616666747749	1.45908129519107e-06	0.00232496498381502
SPHK1	4.00702299439305	5.5677736550748	108.315325133391	3.52468210020669e-06	0.00482874401381282
NKX3-1	3.91415325156556	5.08013895889718	102.858409178486	4.33942192374415e-06	0.00482874401381282
CCDC99	3.69393766726056	7.70501724152796	102.641379011245	4.37638232591505e-06	0.00482874401381282
BTBD11	6.29078399665748	3.05322903646284	100.528013782079	4.7573617789871e-06	0.00482874401381282
ID3	5.44145404687799	7.50476899935312	98.651957768727	5.13032046599809e-06	0.00482874401381282
MYPN	4.77760599356034	4.54300376085642	97.7658274348117	5.31898120230633e-06	0.00482874401381282
ATOH8	3.46443966938701	6.36086798248608	97.4542377453213	5.38734427313333e-06	0.00482874401381282
STC1	5.1123630678256	7.18009852348165	91.8189176484456	6.83318508629829e-06	0.00574146325532204
FOS	-4.08970137670913	7.60859245429135	89.1606025927749	7.68024282520117e-06	0.00574146325532204
MYOM3	4.75808204338124	3.23425177338823	88.367983103619	7.95751039590952e-06	0.00574146325532204
PRPS1	3.04302667840127	7.29073534040509	86.3033291073019	8.73981528982626e-06	0.00574146325532204
MYO10	3.46036839601239	8.53337778066517	86.2270457203376	8.77049319440092e-06	0.00574146325532204
EPHB1	4.08770855681392	5.84931609858768	85.0855909704095	9.24577791350625e-06	0.00574146325532204
TGM2	4.3427588560143	9.38843619355542	84.9957822038234	9.28450360567188e-06	0.00574146325532204
CYP26B1	-3.11970819184675	5.82406007773712	83.6238443616783	9.90169052226333e-06	0.00574146325532204
TGFA	4.47214301253182	6.35234027393924	82.859846754313	1.02673167234417e-05	0.00574146325532204
PARD3B	-2.91407063808132	5.90828217678792	82.3071023397997	1.05422484903983e-05	0.00574146325532204
FGF5	2.81805363761466	6.62824709864745	81.3921051241391	1.10175891215033e-05	0.00574146325532204
